SN;WHP;WFR;OFR;GFR;WPD;API;ID;WBHT;BHP
1;670;3822;1848;248.00;6858;33.4;4.000;217;3234
2;600;2420;824;1078.00;6567;31.7;3.958;200;2649
3;340;140;5469;2620.00;6252;33.4;4.000;217;1851
4;280;2245;6455;3118.00;6164;33.4;3.958;217;1975
5;380;2758;3642;1344.00;6486;33.4;3.958;217;2383
6;200;165;14790;7040.00;6584;37.3;3.958;225;2648
7;225;1544;4218;1523.00;6135;33.4;3.958;217;1952
8;390;2073;324;382.00;6811;31.7;2.992;200;2685
9;1200;4;4106;3219.00;6846;38.3;4.000;209;3049
10;220;806;7500;3750.00;6716;33.4;4.000;217;1906
11;390;5521;6456;833.00;5944;33.4;4.000;217;2414
12;210;746;4229;249.00;6026;27.6;3.958;160;2306
13;295;3619;584;249.00;6808;33.4;4.000;217;3025
14;460;1175;4315;1821.00;5998;33.4;4.000;217;2436
15;280;6163;4178;2273.00;6542;33.4;4.000;217;2635
16;850;396;1170;1043.00;6758;38.3;2.992;209;3135
17;700;2102;6338;2580.00;6200;33.4;3.958;217;3039
18;220;9481;4319;3170.00;5901;33.4;3.958;217;2344
19;240;9;4438;1771.00;5664;31.7;4.000;200;1865
20;300;7773;8091;5210.00;6683;37.3;3.958;225;3026
21;220;3012;1391;771.00;5885;33.4;3.958;217;2222
22;400;30;15094;7970.00;6889;33.4;3.958;217;2812
23;580;1699;5017;2192.00;6530;37.3;3.958;225;2969
24;400;10335;6552;5392.00;6583;37.3;6.276;225;2872
25;250;329;16971;10454.00;6607;37.3;4.000;225;2599
26;92;0;639;42.00;5146;26.2;3.958;160;1916
27;270;2060;2314;1641.00;7025;31.7;2.992;200;2515
28;340;126;3018;235.00;5687;28.1;4.000;160;2195
29;220;3670;3730;1264.00;6394;33.4;4.000;217;2532
30;1000;90;5910;3700.00;6535;37.3;4.000;225;2968
31;900;719;2625;1299.00;6243;33.4;4.000;217;2944
32;240;432;13083;5809.00;6310;33.4;3.958;217;2239
33;240;2744;2165;983.00;6694;37.3;3.920;225;2580
34;760;30;15170;7979.00;6717;37.3;3.958;225;3080
35;225;3556;10612;5094.00;6248;33.4;4.000;217;2335
36;300;1022;1434;610.00;6559;31.7;3.958;200;2531
37;320;0;1929;253.00;6161;27.6;4.000;160;2206
38;215;720;10187;5440.00;6759;33.4;3.958;217;2183
39;400;1429;8927;4499.00;5533;33.4;3.958;217;2103
40;230;1899;1256;417.00;6383;33.4;2.441;217;2761
41;540;2628;2618;2508.00;5545;33.4;3.958;217;2258
42;190;10380;4406;2481.00;6784;37.3;4.000;225;2891
43;800;3984;916;2254.00;6312;38.3;4.000;209;2889
44;1000;7;6593;4127.00;6386;37.3;4.000;225;2975
45;305;5193;571;405.00;6742;33.4;4.000;217;3088
46;220;5792;753;409.00;6629;33.4;3.958;217;3079
47;270;5831;4582;3051.00;6410;33.4;4.000;217;2429
48;620;3410;1190;547.00;5902;33.4;4.000;217;2953
49;540;80;11357;6235.00;6824;37.3;3.958;225;2625
50;1120;1380;5698;5886.00;6516;38.3;4.000;209;2989
51;130;4311;4243;395.00;5588;27.6;4.000;160;2270
52;330;1018;3410;396.00;5132;27.6;3.958;160;2341
53;290;1678;3898;2077.00;6351;37.3;2.441;225;2862
54;600;1043;3656;461.00;6150;33.4;2.992;217;2961
55;680;502;15698;11711.00;6797;38.3;4.000;209;2905
56;570;2764;11336;9727.00;6897;38.7;4.000;220;2853
57;700;1019;3532;1685.00;6649.8;33.4;3.958;217;2818
58;230;1225;13017;5832.00;6567;33.4;6.276;217;1837
59;1120;0;2295;1494.00;8150;33.7;4.000;175;3059
60;440;1903;2155;855.00;6995;33.4;3.958;217;2992
61;1260;26;3724;3850.00;5676;38.7;4.000;220;2738
62;750;122;6637;3883.00;5462;37.3;3.958;225;2337
63;240;7549;7138;5032.00;6593;37.3;3.958;225;2682
64;500;1384;2759;1363.00;6435;33.4;4.000;217;2659
65;300;874;9789;5423.00;6375;33.4;3.958;217;2108
66;450;46;7654;5763.00;6698;33.4;2.992;217;2553
67;276;0;5890;560.00;5821;27.6;3.958;160;2250
68;340;6;1414;83.00;6164;27.6;3.958;160;2243
69;320;2508;1892;1143.00;6587;37.3;4.000;225;2622
70;620;4232;4566;3173.00;6507;37.3;3.958;225;3085
71;291;497;2754;358.00;5714;27.6;3.958;160;2235
72;420;707;3154;1375.00;5964;33.4;2.992;217;2262
73;920;501;2711;1206.00;6200;33.4;4.000;217;3057
74;433;2031;1394;353.00;6520;33.4;2.992;217;2929
75;290;674;16601;9977.00;6706;37.3;3.958;225;2669
76;700;912;2609;1130.00;6523;33.4;3.958;217;2872
77;550;5860;3715;1835.00;7064;33.4;3.958;217;3292
78;640;262;16133;13261.00;6756;38.3;3.958;209;2836
79;510;5790;3610;3783.00;6276;38.7;4.000;220;2696
80;495;376;6862;3733.00;5758;33.4;4.000;217;2092
81;510;2909;7298;4452.00;6624;37.3;3.958;225;2760
82;260;9901;5594;3250.00;6663;37.3;3.958;225;3010
83;290;2348;8728;4189.00;6498;33.4;3.958;217;2339
84;285;8223;5235;3785.00;6845;37.3;3.958;225;2907
85;440;3027;2538;1403.00;6334;33.4;4.000;217;2621
86;390;5680;6353;4289.00;6293;37.3;4.000;225;2495
87;450;4903;625;125.00;6561;33.4;3.958;217;3376
88;175;5661;6257;2847.00;6447;33.4;4.000;217;2423
89;260;3482;12344;7196.00;6753;37.3;3.958;225;2648
90;850;2362;2198;413.00;6223;33.4;4.000;217;3418
91;860;1883;2921;1972.00;6379;37.3;4.000;225;3007
92;730;161;6260;4901.00;6126;33.4;4.000;217;2492
93;630;1249;6277;4205.00;6758;37.3;3.958;225;2533
94;260;6;5689;2583.00;6525;31.7;2.992;200;2224
95;390;1156;3379;865.00;4885;28.1;3.958;160;2205
96;740;1465;10258;6267.00;6595;37.3;3.958;225;2848
97;990;238;2562;2175.00;6730;37.3;3.958;225;2921
98;260;2472;16994;11250.00;6752;37.3;6.276;225;2373
99;200;97;4731;1438.00;6612;31.7;3.958;200;2319
100;490;5009;4737;5840.00;6891;38.3;3.958;209;2580
101;200;1142;2256;792.00;6555;33.4;4.000;217;2242
102;280;4506;1814;999.00;5975;33.4;3.958;217;2679
103;570;7678;4766;6129.00;6781;38.3;4.000;209;2984
104;300;1825;10846;4968.00;6448;33.4;3.958;217;2309
105;250;1605;13395;6698.00;6693;33.4;3.958;217;2558
106;1080;1833;1153;611.00;6571;31.7;4.000;200;3491
107;390;1331;1891;1061.00;6772;33.4;3.958;217;2581
108;580;937;4389;2717.00;5089;37.3;4.000;225;2177
109;220;3065;2830;968.00;6146;33.4;3.958;217;2533
110;960;47;9353;9353.00;6863;38.7;3.958;220;2766
111;265;4623;1962;918.00;6908;31.7;3.958;200;2892
112;205;318;1734;799.00;6214;33.4;1.995;217;2367
113;342;0;6349;622.00;5625;27.6;4.000;160;2143
114;610;500;3319;2323.00;6360;33.4;4.000;217;2438
115;400;233;2220;313.00;5083;27.6;4.000;160;2284
116;170;3646;7078;2980.00;6576.14;33.4;3.958;217;2378
117;225;21;10727;4677.00;6113;33.4;3.958;217;2099
118;747;204;3190;2871.00;4600;42.5;4.000;185;1827
119;310;5935;12497;7336.00;6683;37.3;3.958;225;2774
120;220;262;8468;1804.00;4770;25.4;3.958;160;1907
121;230;81;2051;250.00;6322;35.3;2.441;233;2323
122;580;5787;6713;5786.00;6645;38.7;3.958;220;2683
123;425;145;3145;811.00;4688;25.4;4.000;160;2022
124;245;5012;12095;9639.00;6587.1;37.3;3.958;225;2745
125;250;61;12099;5178.00;6180;31;4.000;225;2301
126;265;0;1870;168.00;5000;26.4;3.958;160;2092
127;550;1347;5006;3504.00;6313;33.4;4.000;217;2546
128;280;26;12869;5251.00;6666;33.4;4.000;217;2312
129;180;2218;2097;1292.00;6085;33.4;2.441;217;2350
130;480;2748;1692;1116.00;7296;33.4;4.000;217;2730
131;220;1082;12617;4820.00;6623;33.4;3.958;217;2290
132;570;2979;8221;6396.00;6746;38.3;3.958;209;2771
133;730;3235;2950;1092.00;6325;37.3;4.000;225;3004
134;540;1208;792;257.00;6532;33.4;3.958;217;2984
135;365;0;2357;193.00;5126;26.4;3.958;160;2192
136;225;9077;4331;2655.00;6676;33.4;3.958;217;2742
137;230;6;6313;1799.00;6376;33.4;4.000;217;2130
138;250;5606;8694;4895.00;6291;33.4;3.958;217;2351
139;215;3219;1073;684.00;6570;33.4;3.958;217;2550
140;420;2161;3162;1290.00;6454;37.3;2.441;225;2968
141;500;390;1944;437.00;5957;33.4;2.992;217;2521
142;260;2301;11817;6641.00;6617;37.3;3.958;225;2459
143;195;4903;1897;1231.00;5847;33.4;3.958;217;2236
144;1050;0;4655;3030.00;7032;33.7;4.000;175;2886
145;250;3;3023;1584.00;6565;37.3;1.995;225;2693
146;560;690;6143;3778.00;6003;33.4;4.000;217;2348
147;310;931;3031;982.00;5925;33.4;3.958;217;2263
148;380;45;11110;5066.00;5772;33.4;4.000;217;1990
149;460;6734;5248;2913.00;6964;37.3;3.958;225;3293
150;250;6909;2491;2371.00;6929;33.4;3.958;217;2945
151;280;2878;8822;3502.00;6312;33.4;3.958;217;2348
152;270;2369;2068;759.00;6767;33.4;3.958;217;2696
153;880;578;8182;3019.00;6419;37.3;3.958;225;2923
154;225;2233;5388;2861.00;6957;33.4;3.958;217;2215
155;320;3064;11809;3968.00;6661;37.3;3.958;225;2649
156;360;25;4135;2072.00;6145;31.7;4.000;200;2010
157;350;1039;4043;732.00;6937;33.4;2.992;217;2814
158;470;6855;3270;3754.00;6613;37.3;3.958;225;2915
159;430;3203;930;473.00;6562;33.4;3.958;217;2902
160;320;950;13447;7517.00;6643;37.3;3.958;225;2538
161;240;6199;3930;2193.00;6380;33.4;4.000;217;2481
162;820;29;5867;3860.00;6486;37.3;4.000;225;2631
163;420;5756;8181;4639.00;6588;37.3;4.000;225;2863
164;230;2130;800;438.00;6378;33.4;3.958;217;2544
165;390;52;8598;1840.00;6601;33.4;4.000;217;2670
166;715;513;2909;17859.00;4900;42.5;4.000;185;1198
167;600;13;6366;3018.00;6606;31.7;4.000;200;2492
168;690;3658;9313;5951.00;6226;37.3;4.000;225;2758
169;780;6797;5045;3102.00;6501;37.3;6.276;225;3240
170;145;700;2700;394.00;5060;27.6;4.000;160;2297
171;580;3730;7540;3491.00;6782;33.4;3.958;217;2919
172;280;6291;2009;818.00;6270;33.4;4.000;217;2701
173;210;1842;793;309.00;6269;33.4;4.000;217;2478
174;670;3455;9437;6134.00;6811;38.3;4.000;209;3078
175;360;4817;2416;283.00;7451;33.4;3.958;217;3035
176;240;2183;9680;5140.00;6437;33.4;3.958;217;2115
177;310;220;7930;3862.00;6684;33.4;3.958;217;2167
178;700;694;9082;5268.00;6490;37.3;3.958;225;2624
179;1040;1429;5035;7276.00;5226;37.3;4.000;220;2200
180;240;8451;5970;4382.00;6578;37.3;3.958;225;2843
181;200;9298;3910;2064.00;6693;33.4;4.000;217;2795
182;220;4956;2668;1414.00;6435;33.4;3.958;217;2498
183;980;67;9472;6242.00;6223;33.4;4.000;217;2736
184;350;0;4912;383.00;5787;28.1;3.958;160;2238
185;820;1645;11727;6004.00;6399;37.3;6.276;225;2789
186;180;2896;4806;476.00;5860;27.6;4.000;160;2117
187;410;0;2718;457.00;4948;26.4;4.000;160;2190
188;275;3707;6534;4071.00;6712;37.3;4.000;225;2358
189;450;2118;6355;3902.00;6425;37.3;3.958;225;2334
190;270;153;16848;9283.00;6214;37.3;3.958;225;2477
191;230;1219;5265;2643.00;6348;33.4;3.958;217;1732
192;210;1986;2655;1232.00;6646;31.7;4.000;200;1996
193;230;327;7657;3178.00;6859;31.7;3.958;200;1845
194;180;1065;5200;2226.00;6776;33.4;3.958;217;1811
195;225;1390;5073;2379.00;6331;33.4;4.000;217;1751
196;270;1083;6600;2844.00;5422;33.4;6.276;217;1421
197;250;1829;11426;6410.00;6778;33.4;3.958;217;2262
198;600;4448;1730;1114.00;6874;33.4;3.958;217;3141
199;790;633;11785;648.00;6224;37.3;4.000;225;2903
200;440;4179;1816;1778.00;6834;33.4;3.958;217;2537
201;290;80;7900;4005.00;6442;31.7;4.000;200;1941
202;240;6182;748;555.00;6832;37.3;4.000;225;3006
203;580;42;4658;1779.00;5841;33.4;4.000;217;2266
204;230;1022;1488;731.00;6298;33.4;4.000;217;2191
205;750;2791;1383;524.00;6509;33.4;4.000;217;3180
206;205;4970;926;535.00;6407;33.4;4.000;217;2646
207;293;47;5164;537.00;6050;26.4;3.958;160;2079
208;1030;175;3064;199.00;5071;37.3;4.000;225;2634
209;295;13;12727;5015.00;6532;33.4;3.958;217;2282
210;120;5006;939;82.00;5006;27.6;4.000;160;2336
211;230;1859;9013;4669.00;6494;33.4;3.958;217;1996
212;340;1628;6762;3483.00;6581;31.7;4.000;200;2230
213;800;536;8106;4434.00;6429;37.3;3.958;225;3016
214;550;259;15941;12163.00;6816;38.7;4.000;220;2800
215;250;28;13833;3140.00;6293;37.3;3.958;225;2495
216;730;3505;1715;1216.00;6606;33.4;4.000;217;3342
217;500;1022;8618;4344.00;6778;37.3;3.958;225;2510
218;220;182;6078;2924.00;6508;31.7;2.992;200;2159
219;495;844;5746;2896.00;6064;33.4;4.000;217;2234
220;370;2700;7012;1262.00;6110;31.7;3.958;200;2539
221;195;1095;6155;3508.00;6388;33.4;3.958;217;2012
222;320;1611;1954;344.00;6613;37.3;4.000;225;2938
223;260;13;12893;6240.00;5871;33.4;4.000;217;2047
224;290;7;6593;3191.00;6403;31.7;4.000;200;1950
225;420;6664;2047;1101.00;6273;33.4;4.000;217;2798
226;480;2789;7280;976.00;6054;33.4;4.000;217;2601
227;760;518;4883;2461.00;6570;37.3;3.958;225;2714
228;230;2452;745;107.00;6459;33.4;2.992;217;2788
229;290;4288;3712;3203.00;6881;37.3;4.000;225;2940
230;240;8124;4690;3452.00;6729;37.3;3.958;225;2962
231;349;1064;1664;158.00;6223;27.6;4.000;160;2325
232;190;2678;8344;4013.00;6434;33.4;4.000;217;2118
233;660;3121;479;1520.00;6656;38.3;2.992;209;3026
234;210;3604;3984;1801.00;6340;33.4;3.958;217;2289
235;415;34;5624;731.00;5838;35.3;4.000;233;2202
236;600;1479;772;49.00;6541;33.4;4.000;217;3100
237;400;1466;5198;1429.00;6678;33.4;4.000;217;2557
238;250;7857;4878;2614.00;6429;33.4;3.958;217;2562
239;225;7665;2735;1939.00;6742;33.4;4.000;217;3029
